id,datetime,source_collected_id,project,sector,state,announced,promised_capital_usd,promised_jobs,promised_first_output,actual_first_output,current_status,lag_years,slip_years,verification_tier,notes,promise_source,status_source,flag,promised_date_source,announced_dt,promised_first_output_dt,actual_first_output_dt,announced_raw,promised_first_output_raw,actual_first_output_raw
1,2026-08-30T14:49:37Z,1,ArcelorMittal NOES Facility,Steel,AL,2025-02,1200000000,200,2027,pending,Active — Apr 2026 Update: Construction planned. Will produce non-oriented electrical steel (NOES) critical for EV motors and transformers. Supports domestic EV supply chain.,-1.0,-1.0,P,"Advanced manufacturing facility in Mobile County AL producing non-oriented electrical steel for EV motors Operator: ArcelorMittal. Site region (per source): Southeast. Site industry slug: 'metals'. Retrieved from the Engineered-Vision Manufacturing Megaprojects Tracker (https://map.engineered-vision.com/), vintage Apr 2026 Update.",https://www.madeinalabama.com/2025/02/arcelormittal-plans-1-2-billion-alabama-mill-to-produce-electrical-steel/,https://corporate.arcelormittal.com/media/news-articles/arcelormittal-to-move-forward-with-construction-of-a-new-world-class-electrical-steel-manufacturing-facility,"RESOLVED — announced resolved agentically (web search -> primary announcement source, confidence high); promised_date_source resolved agentically (the announcement source that establishes `announced`, confidence high); status_source resolved agentically (dated, independent article on the project's current state (replaces the aggregator fallback), confidence high)",https://governor.alabama.gov/newsroom/2025/02/governor-ivey-announces-that-arcelormittal-plans-1-2-billion-alabama-mill-to-produce-electrical-steel/,2025-02-15,2027-07-01,,"Governor Ivey announced ArcelorMittal's $1.2B Alabama electrical-steel mill, February 6, 2025",2027,Active
2,2026-08-30T14:49:37Z,2,Chobani Dairy Processing Plant,Food and Beverage,NY,2025-04,1200000000,1000,pending,pending,Active — Apr 2026 Update: Site selection and permitting ongoing. Will expand Chobani's Greek yogurt and dairy production capacity.,-1.0,-1.0,P,"Third U.S. dairy processing plant in upstate New York Operator: Chobani. Site region (per source): Northeast. Site industry slug: 'food and beverage'. Retrieved from the Engineered-Vision Manufacturing Megaprojects Tracker (https://map.engineered-vision.com/), vintage Apr 2026 Update.",https://www.prnewswire.com/news-releases/building-for-the-future-chobani-invests-1-2-billion-in-upstate-new-york-to-build-third-us-dairy-processing-plant-302434586.html,https://constructionreviewonline.com/chobani-announces-us1-2-billion-yogurt-plant-in-rome-new-york/,"RESOLVED — announced resolved agentically (web search -> primary announcement source, confidence medium); promised_date_source resolved agentically (the announcement source that establishes `announced`, confidence medium); status_source resolved agentically (dated, independent article on the project's current state (replaces the aggregator fallback), confidence high)",https://www.governor.ny.gov/news/governor-hochul-announces-chobani-make-nations-largest-investment-ever-natural-food-production,2025-04-15,,,"Governor Hochul announced Chobani's $1.2B Rome NY facility, April 22, 2025",TBD,Active
3,2026-08-30T14:49:37Z,3,Eli Lilly Houston API Plant,Pharmaceuticals,TX,2025-09,6500000000,4615,2030,pending,Active – New addition — Apr 2026 Update: Part of Lilly's $27B total U.S. investment plan. Houston facility to produce APIs for Lilly's blockbuster drugs. Operational within ~5 years of construction start.,-1.0,-1.0,P,"$6.5B active pharmaceutical ingredient manufacturing facility in Houston TX Operator: Eli Lilly and Company. Site region (per source): South. Site industry slug: 'pharmaceutical'. Retrieved from the Engineered-Vision Manufacturing Megaprojects Tracker (https://map.engineered-vision.com/), vintage Apr 2026 Update.",https://investor.lilly.com/news-releases/news-release-details/lilly-build-6-billion-facility-manufacture-active-pharmaceutical,https://communityimpact.com/lake-houston-humble-kingwood/development/construction-begins-on-eli-lillys-65b-manufacturing-campus-in-generation-park/,"RESOLVED — actual_first_output resolved agentically (web search -> primary announcement source, confidence high); announced resolved agentically (web search -> primary announcement source, confidence high); promised_date_source resolved agentically (the announcement source that establishes `announced`, confidence high); status_source resolved agentically (dated, independent article on the project's current state (replaces the aggregator fallback), confidence high)",https://investor.lilly.com/news-releases/news-release-details/lilly-plans-build-new-65-billion-facility-manufacture-active,2025-09-15,2030-07-01,,"Lilly announced the $6.5B Houston API facility, September 23, 2025",2030,the site's phrase is 'Operational within ~5 years of construction start' -- a FUTURE date; the deterministic 'operational' keyword match was a false positive
4,2026-08-30T14:49:37Z,4,Eli Lilly Huntsville API Plant,Pharmaceuticals,AL,2025-12,6000000000,450,2026,pending,Active – New addition; breaking ground 2026 — Apr 2026 Update: Breaking ground 2026. Part of Lilly's $27B total U.S. investment. One of the largest pharmaceutical manufacturing investments in Alabama history.,-1.0,-1.0,P,"$6B active pharmaceutical ingredient manufacturing facility in Huntsville AL Operator: Eli Lilly and Company. Site region (per source): Southeast. Site industry slug: 'pharmaceutical'. Retrieved from the Engineered-Vision Manufacturing Megaprojects Tracker (https://map.engineered-vision.com/), vintage Apr 2026 Update.",https://investor.lilly.com/news-releases/news-release-details/lilly-build-6-billion-facility-manufacture-active-pharmaceutical,https://governor.alabama.gov/newsroom/2025/12/governor-ivey-announces-pharmaceutical-giant-lilly-plans-6-billion-advanced-manufacturing-plant-in-huntsville/,"RESOLVED — announced resolved agentically (web search -> primary announcement source, confidence high); promised_date_source resolved agentically (the announcement source that establishes `announced`, confidence high); status_source resolved agentically (dated, independent article on the project's current state (replaces the aggregator fallback), confidence high)",https://investor.lilly.com/news-releases/news-release-details/lilly-build-6-billion-facility-manufacture-active-pharmaceutical,2025-12-15,2026-07-01,,"Lilly announced the $6B Huntsville AL API facility, December 9, 2025",2026-2032,Active – New addition; breaking ground 2026
5,2026-08-30T14:49:37Z,5,Eli Lilly Lehigh County API Plant,Pharmaceuticals,PA,2026-01,3500000000,850,2031,pending,Active – New addition; announced Jan 2026 — Apr 2026 Update: Announced January 2026. Part of Lilly's $27B total U.S. investment plan — the largest pharmaceutical manufacturing investment in U.S. history.,-1.0,-1.0,P,"$3.5B active pharmaceutical ingredient manufacturing facility in Lehigh County PA Operator: Eli Lilly and Company. Site region (per source): Northeast. Site industry slug: 'pharmaceutical'. Retrieved from the Engineered-Vision Manufacturing Megaprojects Tracker (https://map.engineered-vision.com/), vintage Apr 2026 Update.",https://www.reuters.com/business/healthcare-pharmaceuticals/eli-lilly-build-35-billion-pennsylvania-plant-us-manufacturing-push-2026-01-30/,https://www.fiercepharma.com/pharma/lilly-rounds-out-quartet-new-us-plants-35b-injectables-and-device-facility-pa,"RESOLVED — promised_date_source resolved agentically (web search -> primary announcement source; Lilly selected Lehigh County PA on January 30, 2026, confidence high); status_source resolved agentically (dated, independent article on the project's current state (replaces the aggregator fallback), confidence high)",https://investor.lilly.com/news-releases/news-release-details/lilly-selects-pennsylvania-home-its-newest-injectable-medicine,2026-01-15,2031-07-01,,announced Jan 2026,2031,Active – New addition; announced Jan 2026
6,2026-08-30T14:49:37Z,6,Eli Lilly Richmond API Plant,Pharmaceuticals,VA,2025-09,5000000000,650,2030,pending,Active – New addition — Apr 2026 Update: Part of Lilly's $27B total U.S. investment. Richmond facility to manufacture APIs for oncology and diabetes drugs.,-1.0,-1.0,P,"$5B active pharmaceutical ingredient manufacturing facility in Richmond VA Operator: Eli Lilly and Company. Site region (per source): Southeast. Site industry slug: 'pharmaceutical'. Retrieved from the Engineered-Vision Manufacturing Megaprojects Tracker (https://map.engineered-vision.com/), vintage Apr 2026 Update.",https://investor.lilly.com/news-releases/news-release-details/lilly-build-6-billion-facility-manufacture-active-pharmaceutical,https://virginiabusiness.com/eli-lilly-pharmaceutical-plant-goochland-va/,"RESOLVED — announced resolved agentically (web search -> primary announcement source, confidence high); promised_date_source resolved agentically (the announcement source that establishes `announced`, confidence high); status_source resolved agentically (dated, independent article on the project's current state (replaces the aggregator fallback), confidence high)",https://investor.lilly.com/news-releases/news-release-details/lilly-announces-plans-build-5-billion-manufacturing-facility,2025-09-15,2030-07-01,,"Lilly announced the $5B Goochland County VA facility, September 16, 2025",2030,Active – New addition
7,2026-08-30T14:49:37Z,7,Enel 3Sun Solar Panel Factory,Solar,OK,2023-05,1000000000,1000,pending,pending,Delayed – Construction status uncertain — Apr 2026 Update: Construction progressing. Bifacial solar panel production targeted for 2025.,-1.0,-1.0,P,"One of the largest U.S. solar cell and panel factories in Inola OK Operator: Enel North America. Site region (per source): Southeast. Site industry slug: 'renewable'. Retrieved from the Engineered-Vision Manufacturing Megaprojects Tracker (https://map.engineered-vision.com/), vintage Apr 2026 Update.",https://www.enelnorthamerica.com/about-us/newsroom/search-press/press/2023/05/3sun-oklahoma,https://tulsaworld.com/news/local/article_83c28794-954e-11ef-a2d1-8f4cc665c72c.html,"RESOLVED — announced resolved agentically (web search -> primary announcement source, confidence high); promised_date_source resolved agentically (the announcement source that establishes `announced`, confidence high); status_source resolved agentically (dated, independent article on the project's current state (replaces the aggregator fallback), confidence high)",https://www.prnewswire.com/news-releases/enel-selects-oklahoma-as-site-for-planned-solar-pv-cell--panel-manufacturing-facility-301830698.html,2023-05-15,,,"Enel/3Sun USA selected Inola OK, May 22, 2023",TBD,Delayed – Construction status uncertain
8,2026-08-30T14:49:37Z,8,Envision AESC Gigafactory,Battery,KY,2022-04,2000000000,2000,2025,pending,Active — Apr 2026 Update: Construction ongoing. Will supply Nissan and other automakers. 30 GWh capacity.,-1.0,-1.0,P,"30 GWh EV battery cell plant in Bowling Green KY Operator: Envision AESC. Site region (per source): Southeast. Site industry slug: 'battery'. Retrieved from the Engineered-Vision Manufacturing Megaprojects Tracker (https://map.engineered-vision.com/), vintage Apr 2026 Update.",https://www.kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=1273,https://bgdailynews.com/2025/06/22/news_aesc061925/,"RESOLVED — announced resolved agentically (web search -> primary announcement source, confidence high); promised_date_source resolved agentically (the announcement source that establishes `announced`, confidence high); status_source resolved agentically (dated, independent article on the project's current state (replaces the aggregator fallback), confidence high)",https://ced.ky.gov/Newsroom/NewsPage/20220413_EnvisionAESC,2022-04-15,2025-07-01,,"Gov. Beshear announced Envision AESC's Bowling Green gigafactory, April 13, 2022",2025-2027,Active
9,2026-08-30T14:49:37Z,9,First Solar Series 7 Plant (Alabama),Solar,AL,2022-11,1100000000,800,2024,2024-09,Active – Operational — Apr 2026 Update: Plant inaugurated September 2024. Fully operational producing Series 7 thin-film solar panels.,1.8,0.2,P,"Solar panel factory in Lawrence County AL making 3.5 GW nameplate capacity Operator: First Solar. Site region (per source): Southeast. Site industry slug: 'renewable'. Retrieved from the Engineered-Vision Manufacturing Megaprojects Tracker (https://map.engineered-vision.com/), vintage Apr 2026 Update.",https://www.madeinalabama.com/2024/09/first-solar-inaugurates-1-1-billion-alabama-manufacturing-facility/,https://www.renewableenergyworld.com/solar/roll-tide-build-solar-first-solar-inaugurates-1-1b-alabama-facility/,"RESOLVED — announced resolved agentically (web search -> primary announcement source, confidence medium); promised_date_source resolved agentically (the announcement source that establishes `announced`, confidence medium); status_source resolved agentically (dated, independent article on the project's current state (replaces the aggregator fallback), confidence high)",https://www.madeinalabama.com/2024/09/first-solar-inaugurates-1-1-billion-alabama-manufacturing-facility/,2022-11-15,2024-07-01,2024-09-15,First Solar announced the Lawrence County AL plant in November 2022,2024-2025,Active – Operational Plant inaugurated September 2024. Fully operational producing Series 7 thin-film solar panels.
10,2026-08-30T14:49:37Z,10,First Solar Series 7 Plant (Louisiana),Solar,LA,2023-08,1100000000,700,2025,2025-07,Active — Apr 2026 Update: Construction underway. Expected to add 700 jobs when fully operational in 2026.,1.9,0.0,P,"Two million sq ft Series 7 module solar panel manufacturing in Iberville Parish LA Operator: First Solar. Site region (per source): Southeast. Site industry slug: 'renewable'. Retrieved from the Engineered-Vision Manufacturing Megaprojects Tracker (https://map.engineered-vision.com/), vintage Apr 2026 Update.",https://www.renewableenergymagazine.com/pv_solar/first-solar-breaks-ground-on-1-1-20230922,https://www.opportunitylouisiana.gov/news/first-solar-inaugurates-new-1-1-billion-ai-enabled-louisiana-manufacturing-facility,"RESOLVED — actual_first_output resolved agentically (web search -> primary announcement source, confidence high); announced resolved agentically (web search -> primary announcement source, confidence high); promised_date_source resolved agentically (the announcement source that establishes `announced`, confidence high); status_source resolved agentically (dated, independent article on the project's current state (replaces the aggregator fallback), confidence high)",https://www.opportunitylouisiana.gov/news/first-solar-to-invest-up-to-1-1-billion-to-build-solar-panel-manufacturing-facility-in-acadiana-create-over-700-new-direct-jobs,2023-08-15,2025-07-01,2025-07-15,"First Solar selected the Acadiana Regional Airport site, August 10, 2023",2025-2026,the Louisiana facility produced its first modules in July 2025
